t [s],P [Pa],T [K],D [kg/m^3],Hlv [J/kg],Volume [m^3],Mass [kg],X1 [m],X2 [m],V1 [m/s],V2 [m/s],dMdt [kg/s],dVolume/dt [m^3/s],covered percentage,bubble label
0.24240000000000284,197928.72483744466,291.6731196013415,5.07740338195008,367957.1498950315,1.1843244273766792e-7,6.013292852888443e-7,0.8506472217022019,0.9717280829371199,0.05254889792338137,0.05077368143363658,2.5111944508024e-8,-1.7310823163882037e-9,0.31047455044051453,1.0
0.24280000000000285,197933.43626508478,291.67384861513744,5.077517450313228,367956.4341540803,1.1843171606795223e-7,6.01339105005569e-7,0.85066979665144,0.9717490488012726,0.05308402686252933,0.051142074262906415,2.398700173266536e-8,-1.900084788372075e-9,0.31043973585287993,1.0
0.24320000000000286,197938.10903514817,291.67457164732673,5.07763058273788,367955.7242858311,1.1843092266983722e-7,6.013484748902304e-7,0.8506925986523214,0.9717701667606359,0.053612381420282344,0.051507074827856714,2.2863357233954082e-8,-2.065713663519955e-9,0.3104044761073584,1.0
0.24360000000000287,197942.74172689958,291.67528847807466,5.077742744826618,367955.0205061162,1.1843006349702141e-7,6.013573956913561e-7,0.8507156251634473,0.9717914353789174,0.05413567856657461,0.05186836823303428,2.1741594977182782e-8,-2.2299817201020406e-9,0.31036877722251804,1.0
0.24400000000000288,197947.33437228855,291.6759991123248,5.077853937352972,367954.3228100821,1.1842913868446114e-7,6.013658681662121e-7,0.8507388744008635,0.9718128531091202,0.05465569050840106,0.052225718983446315,2.0621656798319507e-8,-2.395074472710817e-9,0.31033264028140073,1.0
0.2444000000000029,197951.88863029305,291.6767038067761,5.077964200482455,367953.6309457036,1.1842814743744324e-7,6.013738930167948e-7,0.8507623453290436,0.9718344181568226,0.05517414360126413,0.05257747702149126,1.9502872988646928e-8,-2.5644987470184755e-9,0.31029606069939497,1.0
0.2448000000000029,197956.40931451012,291.6774033062512,5.078073650757052,367952.9441817184,1.1842708708546352e-7,6.013814704646031e-7,0.8507860376214985,0.9718561274832799,0.05569260678476706,0.05292077956705905,1.8383666649029408e-8,-2.741728897275585e-9,0.3102590228024293,1.0
0.24520000000000292,197960.90256714792,291.6780985611531,5.078182436885749,367952.2615850274,1.1842595405432542e-7,6.01388599950114e-7,0.850809951569868,0.9718779777170382,0.05621239594245547,0.05325609740221959,1.726194291624299e-8,-2.928177740788458e-9,0.310221505556692,1.0
0.24560000000000293,197965.37462025904,291.6787905357865,5.078290709752757,367951.5822088823,1.1842474454327089e-7,6.013952800189361e-7,0.8508340879643866,0.971899965734826,0.05673452118869117,0.053584161669404676,1.6056863084442887e-8,-3.1243004912774667e-9,0.310183486566047,1.0
0.24600000000000294,197969.80970664998,291.67947679044477,5.078398087618593,367950.9084485713,1.184234546139324e-7,6.014014454405816e-7,0.8508584479760851,0.971922088751192,0.0572598292979905,0.05390588183658445,1.484046878121859e-8,-3.3293357113201775e-9,0.31014495170552586,1.0
0.24640000000000295,197974.23308164033,291.6801612329617,5.078505181939738,367950.2364674086,1.1842208107470184e-7,6.01407152393961e-7,0.8508830331288568,0.9719443448729802,0.05778895502722416,0.054225379158166255,1.3705257111905846e-8,-3.5406063412099564e-9,0.3101058737685238,1.0
0.24680000000000296,197978.650994698,291.6808448303369,5.078612144022044,367949.5653160006,1.1842062212885943e-7,6.014124096462711e-7,0.8509078450551635,0.9719667338291385,0.05832189534654269,0.05454491150551986,1.2575619791697622e-8,-3.7558293545483105e-9,0.3100662402846453,1.0
0.24720000000000297,197983.0643709957,291.68152772572523,5.078718996264865,367948.89485379873,1.184190764112182e-7,6.014172128897944e-7,0.850932885351323,0.9719892557801058,0.0588584834293395,0.05486506740512276,1.1435121279556063e-8,-3.974117892404274e-9,0.31002604317205434,1.0
